iter	Logloss
0	0.6787968226
1	0.6662287387
2	0.6537582395
3	0.6400942519
4	0.626728214
5	0.6113856268
6	0.5981256296
7	0.5842836068
8	0.5702434406
9	0.5588006567
10	0.54630424
11	0.5335125347
12	0.522460758
13	0.5113852106
14	0.5007500688
15	0.4905814381
16	0.4806751036
17	0.4708150804
18	0.4604860215
19	0.4502508312
20	0.4398860139
21	0.4315984507
22	0.4238921117
23	0.4151959376
24	0.4083205366
25	0.399356702
26	0.3912325277
27	0.3844686045
28	0.3781848278
29	0.3717954498
30	0.3652102183
31	0.3585542701
32	0.3521788922
33	0.345402326
34	0.3398484394
35	0.3343181315
36	0.3305798487
37	0.3243584428
38	0.3188112024
39	0.3132904512
40	0.3083602668
41	0.3047053738
42	0.3005493308
43	0.2962682424
44	0.291280018
45	0.2865521884
46	0.2819189554
47	0.2767783181
48	0.2717019138
49	0.2675365759
50	0.2633579205
51	0.2602130959
52	0.2562898918
53	0.2517801296
54	0.2472136977
55	0.243131476
56	0.2409779161
57	0.2376297536
58	0.23528828
59	0.2323480224
60	0.2288633568
61	0.225929538
62	0.2224476995
63	0.2190931215
64	0.215963766
65	0.212870476
66	0.2104287003
67	0.2071624485
68	0.2046148506
69	0.2013150147
70	0.1979884227
71	0.1951987714
72	0.1926941071
73	0.1897358226
74	0.1871569733
75	0.1843252558
76	0.1822459143
77	0.1800686073
78	0.1778374365
79	0.1758660068
80	0.174054173
81	0.1716796048
82	0.1694768166
83	0.1677053129
84	0.1659988708
85	0.1643246264
86	0.1622607151
87	0.1605262157
88	0.1586350737
89	0.1567859964
90	0.1554650719
91	0.1536642108
92	0.1518210553
93	0.1504079236
94	0.149187609
95	0.1477203311
96	0.1460094389
97	0.1450680686
98	0.1433927268
99	0.1419888919
100	0.1408065261
101	0.1395233573
102	0.1382583756
103	0.1371179124
104	0.1356953397
105	0.134341451
106	0.1329613735
107	0.1318836117
108	0.1304208099
109	0.1290131092
110	0.1274535682
111	0.1263570446
112	0.1253773972
113	0.1242964697
114	0.1234902359
115	0.1224546426
116	0.1213630432
117	0.1205419335
118	0.1195306276
119	0.1185967569
120	0.1175841531
121	0.1167941291
122	0.1159445551
123	0.1147994983
124	0.1141127282
125	0.1131763194
126	0.1123705918
127	0.1114096258
128	0.1104738857
129	0.1095851907
130	0.108716777
131	0.1079356725
132	0.1070909624
133	0.1062072921
134	0.1053547277
135	0.1045876043
136	0.1036573875
137	0.1028691392
138	0.1021934402
139	0.1013162827
140	0.1006661844
141	0.09991666255
142	0.09920522463
143	0.0984362876
144	0.09775918352
145	0.09702846362
146	0.09638979322
147	0.09560586957
148	0.09509889836
149	0.09427834979
150	0.09378336965
151	0.0932273355
152	0.09256923168
153	0.09191958879
154	0.09103691615
155	0.09079688187
156	0.09022234171
157	0.08966517258
158	0.08914064188
159	0.08869946298
160	0.08823628796
161	0.08773097032
162	0.08708388089
163	0.08643750672
164	0.08597307349
165	0.08538056712
166	0.08474018817
167	0.08409613532
168	0.0835903359
169	0.08315392074
170	0.08279751207
171	0.08240889314
172	0.08183729063
173	0.08146093131
174	0.08097527084
175	0.08057873174
176	0.07992638892
177	0.07944654717
178	0.07897300909
179	0.07854032029
180	0.07807143526
181	0.07767609308
182	0.07720148038
183	0.07676020776
184	0.07641093389
185	0.07608149369
186	0.07570841234
187	0.07536136397
188	0.07490345439
189	0.0744802949
190	0.07403986151
191	0.07366010422
192	0.073337428
193	0.07290422159
194	0.07251537443
195	0.07209039352
196	0.0717138118
197	0.0713727364
198	0.07094896494
199	0.07070729203
200	0.07038316259
201	0.06995718093
202	0.06962540047
203	0.06932481057
204	0.06904322552
205	0.06873332868
206	0.06838772845
207	0.06814928622
208	0.06785074497
209	0.06751095334
210	0.06735305211
211	0.06703288143
212	0.06673939382
213	0.06636103132
214	0.06599156461
215	0.06561722349
216	0.06525228065
217	0.06493087798
218	0.06469823279
219	0.06439425625
220	0.06413074538
221	0.06392132967
222	0.06370166715
223	0.06337358494
224	0.06313061113
225	0.06285040187
226	0.06257761671
227	0.06234423939
228	0.06212851167
229	0.06182072591
230	0.06160715163
231	0.06131549641
232	0.06096927932
233	0.06074629365
234	0.06052873997
235	0.06012463148
236	0.05988694748
237	0.05961488033
238	0.059379255
239	0.05914190458
240	0.05888020159
241	0.05868101341
242	0.05844774528
243	0.05828733485
244	0.05810861246
245	0.0578588623
246	0.05762741142
247	0.05743637227
248	0.05714060252
249	0.05688853925
250	0.05653664242
251	0.05637569947
252	0.05617464179
253	0.05591914161
254	0.05569393029
255	0.05546413642
256	0.0552740503
257	0.05507693041
258	0.05486880957
259	0.05470581379
260	0.05453842946
261	0.05435362681
262	0.05414524806
263	0.0539503668
264	0.05380842063
265	0.05365255874
266	0.05348204418
267	0.05331479895
268	0.05317861632
269	0.05294650139
270	0.05280318874
271	0.05262227936
272	0.0524541005
273	0.05230426552
274	0.05217443254
275	0.05196414396
276	0.05180672556
277	0.051680562
278	0.05139516464
279	0.05121907017
280	0.05101752884
281	0.05086611242
282	0.05073696476
283	0.05055155234
284	0.05037293995
285	0.05015870821
286	0.04998525192
287	0.04981761894
